location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude
663497,Nicosia,o3,89.0,µg/m³,2024-01-05 19:00:00+00:00,2024-01-05 21:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,90.0,µg/m³,2024-01-05 20:00:00+00:00,2024-01-05 22:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,91.0,µg/m³,2024-01-05 21:00:00+00:00,2024-01-05 23:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,90.0,µg/m³,2024-01-05 22:00:00+00:00,2024-01-06 00:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,89.0,µg/m³,2024-01-05 23:00:00+00:00,2024-01-06 01:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,89.0,µg/m³,2024-01-06 00:00:00+00:00,2024-01-06 02:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,91.0,µg/m³,2024-01-06 01:00:00+00:00,2024-01-06 03:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,91.0,µg/m³,2024-01-06 02:00:00+00:00,2024-01-06 04:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,90.0,µg/m³,2024-01-06 03:00:00+00:00,2024-01-06 05:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,90.0,µg/m³,2024-01-06 04:00:00+00:00,2024-01-06 06:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,84.0,µg/m³,2024-01-06 05:00:00+00:00,2024-01-06 07:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,83.0,µg/m³,2024-01-06 06:00:00+00:00,2024-01-06 08:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,75.0,µg/m³,2024-01-06 07:00:00+00:00,2024-01-06 09:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
